index,resposta
305,"No caso de prenhez confirmada, o retorno ao cio, na fase inicial da gestação, pode ocorrer em razão de morte embrionária e, na fase mais avançada da gestação, por aborto. Algumas vezes, a vaca inseminada ou coberta, não sendo mais vista em cio, é considerada gestante. Entretanto, a concepção pode não ter ocorrido e a vaca ter apresentado cios posteriores, que não foram identificados. Avaca gestante pode, também, apresentar sinais de cio entre três meses e meio e quatro meses e meio de prenhez, conhecido como cio do “encabelamento”."
306,"Não existe um número certo. Sabe-se de vacas com 17partos. Em algumas situações, as vacas podem ser descartadas com quatro lactações e, em outras, com mais de sete, dependendo da taxa de reposição, da intensidade de seleção, da raça e do manejo adotado em cada propriedade. Existem critérios para o descarte voluntário ou involuntário de vacas. Odescarte involuntário decorre de problemas adquiridos como mastite, tetos perdidos, lesões de casco e problemas reprodutivos ou infertilidade, que interfiram na produção de leite. Odescarte voluntário é determinado por critérios estabelecidos pelo produtor, como idade, número de crias, produção de leite, e 169 dependerão da taxa de reposição ou renovação do rebanho, ou seja, de quantas novilhas de primeira cria entrarão no rebanho e quantas vacas mais velhas deverão ser descartadas. Assim, desde que a vaca mantenha-se produtiva, fértil e saudável, a idade não é um fator limitante para a produção de leite."
307,"O excesso de gordura pode dificultar o parto em algumas vacas. Vacas gestantes obesas podem apresentar, após o parto, atraso na involução do útero e serão mais suscetíveis a infecções uterinas. Após o parto, essas vacas também podem mobilizar grande quantidade de gordura, que se acumulará no fígado e poderá provocar cetose ou degeneração gordurosa hepática, afetando muitos dos processos bioquímicos que ocorrem nesse órgão e caracterizando a Síndrome da Vaca Gorda."
308,"Faltando 30dias para o parto previsto das vacas, elas devem ser manejadas de forma mais cuidadosa, para garantir que tenham condições adequadas para um parto normal e um início de lactação sem enfermidades. Para tanto, as vacas devem ser separadas das outras vacas secas e alocadas em um piquete chamado maternidade. A maternidade deve ser um local tranquilo, arejado e bem sombreado, com pouco movimento de máquinas, mas situado perto do curral ou da casa de um vaqueiro, para que as vacas possam ser observadas durante todo o dia, para facilitar eventuais assistências ao parto. As vacas devem receber dieta própria para o período préparto, que deve consistir dos mesmos ingredientes usados para alimentar as vacas em lactação. Ou seja, na maternidade, as vacas 170 têm que ser adaptadas à dieta das em lactação, evitando o estresse de mudança de alimentação e prevenindo a ocorrência de doenças metabólicas."
309,"Recomenda-se esperar o rompimento da bolsa amniótica, observar atentamente o trabalho de parto e a expulsão do bezerro. Deve-se também evitar a manipulação do feto durante o parto, sem necessidade, a fim de evitar riscos de infecções uterinas ou retenção de placenta. Anatureza é a melhor parteira. Quando a vaca apresenta dificuldade no parto é necessário identificar qual o motivo. Muitas vezes, a dificuldade é devida à posição anormal do feto dentro do útero, ou porque o bezerro é muito grande. Oideal é a presença de um médico veterinário que, por manipulação obstétrica, pode retirar o bezerro do útero, depois de colocá-lo na posição correta, ou realizar cesariana, se houver necessidade. Como a cesariana é um processo traumático, pode acontecer que o animal produza menos leite do que o esperado."
310,"A eficiência reprodutiva não pode ser avaliada por apenas um índice, pois há diferenças entre os que podem ser empregados. Ointervalo de partos – período entre dois partos consecutivos – é o índice mais usado para avaliar a eficiência reprodutiva de uma propriedade. Obviamente, não se aplica a novilhas, vacas com um só parto, nem às que permanecem longo tempo em anestro. Oideal é ter um intervalo de partos de 12 a 13meses, com período de serviço de 80 a 110dias. O número de serviço por concepção é outra medida que pode ser adotada, sendo recomendado um índice abaixo de 1,7. Mas, esse índice mede mais a eficiência do inseminador do que a reprodutiva do rebanho. Entretanto, o intervalo de partos e o 171 número de serviço por concepção são índices históricos, ou seja, são obtidos a partir de eventos ocorridos ao longo do tempo. Como opção de índices dinâmicos, pode-se utilizar a taxa de prenhez (número de vacas gestantes sobre número total de vacas) que pode ser medida mensalmente, com o ideal próximo de 75%, e a taxa de vacas vazias com mais de 90 ou 120dias de lactação. Oacompanhamento desse índice permite identificar vacas com reprodução atrasada, também chamadas de vacas problema, pois serão as responsáveis pelo alongamento do período de serviço e do intervalo de partos da propriedade. Oideal é que menos de 7% das vacas em lactação não tenha voltado em cio até 90dias pósparto e que menos de 4% das vacas estejam com mais de 120dias de paridas e vazias."
311,"A somatotropina (bST) é um hormônio empregado para aumentar a produção de leite e melhorar a persistência da lactação. É indicada após 60dias do parto, em vacas que já tenham sido cobertas, para evitar possíveis interferências na reprodução. Oimportante é lembrar que a bST provoca aumento na produção de leite e, consequentemente, no balanço energético negativo observado no início da lactação. Dessa forma, vacas com baixa condição corporal e tratadas com bST podem ter o período de serviço aumentado (período entre parto e concepção), se não forem alimentadas adequadamente."
312,"Animais submetidos a altas temperaturas (por volta de 32°C para raças europeias e 38°C para zebuínas) e umidade elevada, por longos períodos, podem sofrer o chamado “estresse calórico”. Vacas em estresse calórico apresentam cios mais curtos e de difícil identificação, em consequência do reduzido número de montas. Ainda, o estresse calórico reduz a fertilidade das vacas, que passam a repetir mais cios. Esses animais podem até chegar à condição de 172 anestro, por redução no consumo de alimentos. Quando submetidos a temperaturas muito baixas (abaixo de 10°C), os animais podem também reduzir o número de montas, dificultando a identificação dos cios."
313,"O prolapso vaginal, ou da cérvix, geralmente acontece no momento do parto e, raramente, alguns meses antes do parto. Vacas que têm problemas durante o parto, com danos à vagina e cérvix causados por bezerros grandes ou que estavam em posição anormal, podem apresentar prolapso. Se o prolapso acontecer durante a gestação, for identificado logo no início e se o feto ainda estiver vivo, o veterinário pode optar por realizar cirurgias. Em casos mais severos ou que se repetem, deve-se descartar os animais."
314,"Principalmente vacas que sofreram algum tipo de estresse, além de partos difíceis, deficiência alimentar, curto período de secagem, com doenças metabólicas ou infecciosas, e até mesmo vacas magras, muito obesas ou velhas, estão sujeitas à retenção de placenta. O tempo normal para expulsão da placenta após o parto é de até 12horas. Após esse período, considera-se a placenta como retida. Aplacenta retida demora de 3 a5dias para ser liberada e não há recomendação de tratamento. Aretenção de placenta por si não causa problemas à vaca. Oproblema é que a placenta deixa uma porta aberta para a entrada de bactérias no útero, que fica mais suscetível a infecções agudas, capazes até de provocar a morte do animal por septicemia. Os sintomas de infecção geralmente são febre, perda de apetite e descarga vaginal purulenta, de odor fétido. Otratamento, 173 geralmente com antibióticos, deve ser indicado por um médico veterinário. Não se deve esquecer que o leite de vacas que recebem antibióticos não é adequado para consumo humano, devendo-se observar o período de carência preconizado na bula do produto."
315,"São folículos no ovário que não ovulam. Cistos podem provocar cios longos e frequentes (ninfomania), ou anestro. São mais comuns nos primeiros meses após o parto, em vacas de maior produção leiteira e doadoras de embriões, e são provocados por alterações no balanço hormonal dos animais. Existem diversos tratamentos que empregam hormônios, como o hormônio liberador da gonadotrofina(GnRH), as prostaglandinas, as progesteronas, etc., e que produzem bons resultados."
316,"Partos difíceis, que necessitam de intervenção humana, e também a retenção de placenta, podem provocar infecções uterinas, ocasionar febre, falta de apetite e perda de peso, e assim, afetar o retorno da atividade do ovário e o aparecimento do cio."
317,"No caso de nascimento de gêmeos de sexos diferentes, a cria fêmea geralmente é estéril e o macho não é recomendado para a reprodução. Se ambos forem do mesmo sexo, não há problemas. 174 No caso de gêmeos de sexos diferentes, a produção de gêmeos é devida à ocorrência de duas ovulações, em que dois ovócitos fertilizados produzem dois embriões diferentes (bivitelinos), e essa característica pode ser herdada pelas filhas."
318,"Depende das condições tanto corporais quanto dos ovários da vaca portadora da metrite. Somente após exame do animal é que se pode prescrever a terapia mais indicada. Em muitos casos, o tratamento envolve o uso de antibióticos. Oretorno ao cio também ajuda na recuperação do útero. Em todos os casos, não é recomendado o uso de velas ou infusões dentro do útero, tanto pela baixa eficiência do tratamento quanto pelos riscos de se causar lesões uterinas que possam reduzir a fertilidade da vaca."
319,"Por serem irritantes ou agressivos, esses parasitas, quando em excesso, provocam estresse constante na vaca, podendo reduzir o consumo de alimentos e causar perda de peso. Em casos severos, os animais podem apresentar cios de pouca intensidade, mais difíceis de serem identificados, ou mesmo apresentar anestro."
320,"Abortos podem ser provocados por diversos fatores, como estresse calórico e de qualquer outro tipo, transporte, ingestão de 175 plantas tóxicas, aplicações de hormônios, tumores, defeitos genéticos, etc. Contudo, as causas infecciosas de abortos são as mais importantes. Entre as doenças infecciosas mais comuns estão a brucelose, leptospirose, campilobacteriose, tricomonose, diarreia viral bovina(BVD) e rinotraqueíte infecciosa bovina(IBR). Doenças como tuberculose, salmonelose, listeriose e micoplasmose, e outras não específicas, como mamites, que provoquem um processo febril grave, também podem causar abortos."
321,"O uso de hormônios pode ser adotado como uma estratégia para a sincronização dos cios, para facilitar o manejo da fazenda e/ou quando há falhas na observação de cios. Asincronização, com a aplicação de hormônios, faz com que várias vacas deem cio juntas, em um curto intervalo de tempo. Existem diferentes tipos de hormônios que podem ser utilizados de acordo com a atividade reprodutiva do animal. Contudo, em vacas magras, em que os ovários não estão em atividade, não é indicada a aplicação de hormônios, pois o cio geralmente não é fértil, trata-se, na verdade, apenas de sinais de cio (não há ovulação). Oimportante é lembrar que o cio “entra pela boca”, isto é, a vaca deve estar bem nutrida para apresentar o cio. Deve-se tomar cuidado, pois alguns produtos como os corticosteroides e prostaglandinas podem provocar o aborto, se aplicados inadvertidamente em animais gestantes. Assim, recomenda-se sempre a avaliação reprodutiva dos animais por médico veterinário, antes da utilização de hormônios para a sincronização de cios."
322,"A inseminação artificial (IA) é uma técnica com muitos custos envolvidos, como a aquisição e manutenção de um botijão de 176 sêmen, compra de sêmen e material de consumo, além da necessidade de um inseminador qualificado. Esses custos também dependem da eficiência da técnica. Se a taxa de prenhez na IA for baixa, serão gastas mais doses de sêmen e as vacas terão o período de serviço aumentado. Assim, a IA é viável em fazendas que tenham uma boa condição nutricional e sanitária do rebanho e que contem com um bom inseminador. Para produtores que têm poucas vacas, pequena produção de leite ou baixo poder aquisitivo, a solução para baixar os custos de implantação e manutenção da IA é sua organização em núcleos, de modo que a estrutura sirva à coletividade. Não há vantagens da inseminação sobre a monta natural, ou vice-versa, quanto à fertilidade, desde que ambas sejam bem conduzidas. Entretanto, o uso da IA permite um melhoramento genético do rebanho mais rápido. A IA pode ser introduzida de forma gradual no rebanho, para não impactar o seu intervalo de partos. Assim, pode-se iniciar inseminando as vacas uma vez e deixando o touro cobrir as vacas que repetirem cio. Quando a taxa de prenhez no primeiro serviço estiver satisfatória, podem-se adotar duas inseminações e o repasse com o touro no terceiro cio. Em seguida, pode-se inseminar cada fêmea três vezes e depois realizar o repasse com touro e, finalmente, pode-se chegar ao uso exclusivo da IA no rebanho."
323,"Antes de se introduzir a inseminação artificial, o produtor deve contar com um organizado processo de escrituração zootécnica, um bom sistema de práticas sanitárias e um eficiente programa de alimentação e manejo dos animais. Fundamental no uso da IA é o treinamento da mão de obra para identificar corretamente o cio e realizar a inseminação. Também é necessária uma infraestrutura mínima na propriedade, como um cômodo para armazenar o botijão de sêmen, 177 um tronco ou brete para conter as vacas que serão inseminadas, a instalação de um ponto de água corrente no brete, além dos materiais necessários. É importante solicitar a assistência de um médico veterinário antes e durante os programas de inseminação."
324,"Para obter melhor taxa de concepção, deve-se inseminar entre 8 e 12horas após a identificação do cio. Em geral, adota-se a regra de cio observado pela manhã, inseminação à tarde, e cio observado à tarde, inseminação na manhã seguinte. Asobservações de cio devem ser feitas logo pela manhã e ao final da tarde. Quais os cuidados que devem ser tomados com relação à"
325,"É recomendável manusear as palhetas de sêmen com cuidado, mantê-las abaixo do gargalo (boca) do botijão e evitar que fiquem expostas à temperatura ambiente (máximo de 10segundos). Com relação ao botijão, mantê-lo em local protegido de raios solares e evitar que sofra pancadas. Verificar regularmente o nível de nitrogênio líquido no botijão, que nunca poderá ficar abaixo de 15cm (utilizar régua apropriada para essa medição). Sabe-se da existência de sêmen viável depois de congelado por mais de décadas. Para isso, é essencial que seja conservado em nitrogênio líquido a -196°C (importante manter um nível mínimo de nitrogênio) e manipulado o mínimo possível."
326,"Não existe uma idade ideal para cobrir as novilhas. Na realidade, deve-se considerar o peso desses animais e o aparecimento 178 do cio, quando estarão aptos a conduzir a gestação a termo e ter menos problemas no parto e pós-parto. O peso recomendado para a cobertura da novilha deve ser estabelecido a partir do peso das vacas adultas do rebanho e pelo manejo nutricional das novilhas à cobrição. Oideal é que as novilhas cheguem ao parto com cerca de 90% do peso das vacas adultas. Quanto melhor a nutrição da novilha durante a gestação, maior será seu ganho de peso e, assim, ela poderia ser coberta com menor peso. Geralmente, o peso à cobertura pode variar de 350kg a 380kg. Novilhas, principalmente as mestiças, podem ser inseminadas ou cobertas a partir dos 320kg de peso vivo, mas se elas não ganharem um bom peso até o parto, produzirão menos leite e poderão demorar mais tempo para retornar ao cio."
327,"A vaca sadia e ciclando normalmente pode ser enxertada pelo touro, independentemente de só ter sido inseminada artificialmente. Oinverso também é verdadeiro."
328,"Um dos grandes problemas da inseminação artificial é a dificuldade na identificação dos cios (perda média de 50%), o que pode acarretar grandes prejuízos para o produtor, de modo que o rufião é muito importante nos trabalhos de inseminação artificial. Os métodos mais usados para se fazer um rufião são a deferectomia (secção/corte do canal deferente), o desvio peniano e a aderência peniana. Podem-se usar, também, vacas androgenizadas (que recebem hormônios masculinos). Orufião auxilia na identificação do cio e pode-se usar buçal marcador, que marca com tinta o lombo das vacas em cio, facilitando a detecção de cios mais curtos ou que ocorrem durante a noite. 179"
329,"Um dos grandes problemas com o uso de rufiões é o inseminador achar que seu uso dispensa a observação de cio. Isso é um grande erro. Orufião apenas auxilia na detecção do cio, que deve ser feito respeitando-se os horários e o tempo de observação de cada lote. Rufiões podem perder a libido (interesse sexual) com a idade e deixar de montar as vacas em cio. Podem ocorrem mudanças no seu comportamento, com o rufião velho cercando vacas em porteiras e seguindo apenas algumas vacas do rebanho. Quando essas alterações são observadas, o rufião deve ser trocado por um novo. Oideal é que se substituam os rufiões a cada ano."
330,"Quando a técnica de inseminação é aplicada corretamente, não se verifica redução na taxa de partos. Contudo, problemas na identificação de cios, inseminações realizadas em horários inadequados, má conservação e manuseio inadequado do sêmen podem comprometer os índices reprodutivos do rebanho. Maiores taxas de concepção são obtidas em vacas com 4 a 5anos de idade, ou na 3ª e 4ªlactações, independentemente de se adotar inseminação artificial ou touros. Outros fatores também influenciam a concepção, até mais que a idade do animal."
331,"IATF é a inseminação artificial em tempo fixo. Ela utiliza protocolos hormonais que, além dos cios, sincronizam também a ovulação nos animais. Asincronização da ovulação permite realizar a inseminação artificial em um horário predeterminado, ou tempo fixo, o que dispensa a observação do cio. Isso pode 180 facilitar o manejo da fazenda, concentrando as inseminações artificiais e os partos para épocas programadas. Além disso, viabiliza o uso da inseminação artificial em rebanho que apresenta problemas na observação de cio ou falta de mão de obra qualificada para realizá-la de forma contínua."
332,"Como qualquer tecnologia, a IATF só vai trazer retorno ao produtor se bem aplicada. Deve-se ter em mente quais são os objetivos que se deseja alcançar com o uso dessa técnica e avaliar os resultados esperados e os custos envolvidos, para verificar sua viabilidade econômica. Nutrição adequada, refletida por bons escores da condição corporal, e um bom manejo sanitário do rebanho são condições indispensáveis para o sucesso da técnica. Como permite o uso da inseminação artificial, o objetivo básico é o melhoramento genético do rebanho. É necessária uma seleção cuidadosa do sêmen de touros provados e das vacas a serem usadas. Recomenda-se, sempre, o acompanhamento de um médico veterinário, para avaliação do manejo nutricional e sanitário do rebanho e para avaliação da situação reprodutiva das vacas."
333,"É um procedimento que separa os espermatozoides carregando o cromossomoY (macho) daqueles com o cromossomoX (fêmea). Atécnica mais utilizada, atualmente, emprega um equipamento chamado citômetro de fluxo e permite que doses de sêmen contendo somente espermatozoides para produção de machos ou fêmeas sejam comercializadas para a inseminação artificial e outras biotécnicas reprodutivas, como a produção de embriões in vivo e in vitro. 181"
334,"A técnica de separação dos espermatozoides para machos e fêmeas pode reduzir a viabilidade espermática, tornando-os mais sensíveis à manipulação para a inseminação. Asdoses na IA estão também em concentrações menores do que as usadas no sêmen convencional (não sexado), o que pode contribuir para a menor taxa de concepção. Em geral, consegue-se melhores taxas de gestação com novilhas do que com vacas, devido às melhores condições uterinas e metabólicas das primeiras."
335,"A produção in vivo, também chamada de Transferência de embriões convencional (TE), é uma técnica pela qual uma vaca (doadora) recebe hormônios para produzir vários oócitos (óvulo ainda em desenvolvimento), é inseminada e, 7dias depois, faz-se uma lavagem no útero para a retirada dos embriões, que são transferidos para o útero de outras vacas (receptoras). Já a Produção in vitro de embriões (Pive), também chamada de Fecundação in vitro (FIV), é outra técnica que permite retirar os oócitos diretamente dos ovários da doadora a fim de serem maturados, fertilizados e cultivados em incubadoras, antes de serem transferidos para receptoras aptas."
336,"Qualquer fêmea sadia, em idade reprodutiva, pode tornar-se uma receptora de embriões. Entretanto, novilhas apresentam maior fertilidade e, por isso, são usadas preferencialmente. Vacas em lactação podem ser usadas, mas apresentam menor fertilidade, por 182 causa do balanço energético negativo que ocorre durante a lactação e do menor escore da condição corporal desses animais. Independentemente do tipo de animal utilizado, deve-se adotar um manejo sanitário específico para o programa de transferência de embriões, sendo recomendadas vacinações contra as principais doenças da reprodução."
337,"Embriões Pive são mais sensíveis à criopreservação, pois o cultivo in vitro pode causar algumas alterações embrionárias (principalmente aumento de lipídios), que interfiram na viabilidade pós-criopreservação. Estudos para melhorar os sistemas de cultivo e métodos de criopreservação vêm sendo conduzidos, visando aumentar a eficiência da criopreservação de embriões e até mesmo de oócitos."
338,"Por quê? Sim. Alguns recém-nascidos de embriões Pive podem apresentar tamanho maior e sobrepeso. Isso ocorre porque os embriões produzidos in vitro podem sofrer alterações causadas pelo cultivo no laboratório, que influenciam o desenvolvimento fetal. No início da utilização da técnica havia ocorrência maior desse tipo de problema. Com o aprimoramento dos processos de Pive, isso tem acontecido em menor grau."
339,"A clonagem em bovinos é um procedimento no qual uma célula de um animal (chamado de doador) é transferida para o citoplasma de um oócito sem núcleo (chamado de receptor). 183 Ocomplexo célula doadora-oócito receptor irá formar um embrião com o material genético do núcleo do animal doador. Com isso, consegue-se produzir animais com o mesmo código genético do animal doador. A clonagem pode ser utilizada para produzir animais cópias de um indivíduo de alto valor genético. Contudo, os animais clones não são totalmente idênticos ao doador. Uma pequena parte (aproximadamente 1%) do genoma do animal é mitocondrial e herdado do oócito receptor. Além disso, muitas características fenotípicas (observáveis no animal) sofrem grande efeito do ambiente onde se encontram os animais e, portanto, podem ser diferentes entre clones. O próprio processo de clonagem pode induzir diferenças fenotípicas entre clones. Provavelmente, a maior contribuição da clonagem será sua associação com a transgenia. Desse modo, haverá benefícios que vão desde a ciência básica até a produção animal e biomedicina."
340,"Controle leiteiro é o registro individual da produção de leite referente a um período de 24horas. Feito a intervalos regulares, esse registro permite estimar a produção da vaca durante toda sua lactação. Apesagem do leite deve ser realizada com equipamentos precisos e frequentemente calibrados. Asanotações devem ser feitas, de preferência, em planilhas apropriadas. Com esses dados, é possível obter a curva de lactação da vaca, assim como conhecer sua produção total. No dia anterior ao controle, deve-se proceder a esgota completa do úbere. No dia do controle, pesa-se o leite produzido pela vaca após suas ordenhas. Nesse mesmo dia, após as pesagens do leite de cada vaca, amostras individuais podem ser colhidas para determinação da composição do leite, incluindo teores de gordura, lactose, proteína, entre outros. Para se obter amostras de forma correta, deve-se uniformizar o leite ordenhado com uma concha, colher uma porção (amostra) e preencher completamente o frasco, no caso de haver apenas uma ordenha na propriedade. Caso haja duas ordenhas, deve-se completar o equivalente a 2/3 do volume do frasco de coleta na primeira ordenha e 1/3, na segunda. Até a segunda coleta, o frasco com o leite deve ser mantido sob refrigeração. Osfrascos para coleta de amostra de leite deverão conter o comprimido do conservante bronopol (vermelho), que não deverá ser retirado do frasco. Osfrascos devem ser tampados, mantidos refrigerados (em geladeira) até envio ao laboratório de análise. Oideal é que se enviem os frascos ao laboratório imediatamente após o término da 186 coleta do leite ou o mais breve possível, para evitar alterações na sua composição. Para o envio ao laboratório, os frascos devem ser acondicionados em caixas térmicas contendo gelo reciclável. Ogelo reciclável deverá permanecer por, pelo menos, 72horas (3dias) no congelador, antes de sua utilização, para atingir o grau de congelamento que permita a manutenção da temperatura dentro da caixa térmica até a chegada ao laboratório. Dentro da caixa térmica, os frascos deverão ser colocados de pé e escorados (com plástico ou isopor, nunca papel ou jornal, pois molham e se desmancham), para evitar sua movimentação e a abertura das tampas. Acaixa térmica deve ter sua tampa lacrada com fita adesiva. Para aquisição dos frascos, as propriedades devem se cadastrar nos laboratórios de análise de leite, preferencialmente naqueles credenciados pela Rede Brasileira de Qualidade do Leite (RBQL). Como em qualquer ordenha, no dia do controle e da coleta de amostras deve-se proceder à higienização prévia do úbere, de acordo com as recomendações das boas práticas agropecuárias. O controle leiteiro e o perfil dos componentes do leite é instrumento importante para a seleção de animais no rebanho, para propósitos comerciais e para a orientação do manejo e da alimentação, ou seja, o fornecimento de concentrado de acordo com a produção de leite, a divisão dos animais em grupos de produção, e o estabelecimento de critérios de secagem de animais, entre outros. Muitas indústrias já deram início à bonificação (pagamento) ao produtor pela qualidade e composição do leite. A frequência do controle leiteiro depende da sua finalidade. Quanto menor o intervalo entre controles, melhor será a estimativa da produção de leite, podendo-se, até mesmo, fazer com mais frequência mudanças no manejo e na alimentação. Entretanto, o controle mensal é o mais adotado, pois, apresenta custo/benefício adequado e dá uma estimativa muito próxima da produção real, sendo, portanto, o intervalo máximo recomendável. 187"
341,"Em gado de leite, o melhoramento genético pode ser obtido pela substituição de animais existentes no rebanho por animais mais produtivos, seja por compra ou por reposição, com animais oriundos da própria fazenda ou de criatórios confiáveis. A escolha dos animais a serem utilizados como progenitores da geração seguinte é chamada de seleção, com resultados em médio e longo prazo. Osacasalamentos devem ser conduzidos de forma dirigida ou orientada, procurando juntar fêmeas da propriedade com touros, preferencialmente provados, que permitam melhorar os índices produtivos, reprodutivos e morfológicos, como, por exemplo, aprumos e conformação do úbere dos animais. É de suma importância evitar o acasalamento entre indivíduos aparentados. A forma de acasalamento mais utilizada no País é o cruzamento, que permite obter resultados em curto prazo e usufruir das qualidades de duas raças leiteiras. Aseleção e o cruzamento podem ser utilizados conjuntamente para garantir a manutenção de elevados índices produtivos nos rebanhos mestiços. Em ambos, deve-se buscar o acasalamento com touros provados ou de valores genéticos conhecidos para as características de interesse."
342,"As linhagens leiteiras e padrão, dentro de cada raça zebuína (Gir, Guzerá, etc.), têm a mesma origem. Contudo, após a introdução dessas raças no Brasil, os criadores adotaram direcionamentos distintos em seus programas de seleção. Alguns decidiram dar ênfase à produção de leite, ou manter a dupla aptidão (produção de carne e leite) selecionando os animais dentro dos próprios rebanhos ou conduzindo trabalhos em parceria com instituições de pesquisa. 188 Dessa forma, surgiram, no Brasil, o gir, o guzerá e o sindi leiteiros. Outros preferiram valorizar características raciais, morfológicas ou de ganho de peso, sem ênfase na produção de leite, o que caracterizou a formação de rebanhos zebu padrão."
343,"Existem, no Brasil, rebanhos gir e guzerá selecionados para leite, constituindo linhagens denominadas, respectivamente, gir leiteiro e guzerá dupla aptidão, uma vez que nessa última existem dois objetivos de seleção. Atualmente, os criadores de animais dessas linhagens participam de programas de melhoramento, por meio de avaliação genética das vacas, de teste de progênie de touros, de núcleos de multiovulação e transferência de embriões (Moet), de seleção (no caso da raça Guzerá), e avaliações de características complementares à produção de leite. Ambas as raças podem ser usadas em cruzamentos com animais de raças europeias ou mesmo como raças puras, adaptando-se bem a condições de ambiente impróprias para criação de raças leiteiras tradicionais, como a raça Holandês, que, para expressar seu alto desempenho produtivo, necessita de condições de ambiente mais específicas e controladas, ou seja, são mais exigentes."
344,"É uma raça zebuína originária dos trópicos paquistaneses, introduzida no Brasil nos anos1930. Osrebanhos dessa raça no país encontram-se predominantemente distribuídos na região Nordeste, com alguns núcleos no Sudeste. Suas principais características são pelagem de cor avermelhada, ideal para as regiões tropicais e subtropicais; pequeno porte, também considerado ideal em virtude do melhor aproveitamento por área e do menor consumo de alimentos; boa eficiência repro189 dutiva; e, principalmente, capacidade de produção de leite satisfatória em várias regiões do País. Essa raça destaca-se por sua excelente adaptabilidade às condições adversas de clima e de manejo, principalmente alimentar, da região Semiárida do Nordeste."
345,"O cálculo do grau de sangue, ou composição genética, de um animal é feito pela soma de metade das composições genéticas de cada um de seus pais, atribuindo-se a nota 1 a cada uma das raças puras, usualmente, a raça Holandês, dentre as raças europeias (E), e a raça Gir, dentre as raças zebuínas (Z). Assim, cruzando-se, por exemplo, um touro da raça Holandês (E) com uma vaca da raça Gir (Z), tem-se então um produto ½E+½Z=½EZ, também chamado meio-sangue, ou F1. Acasalando as fêmeas ½EZ com touro da raça Holandês, obtêm-se animais ½E+½(½EZ)=½E+¼EZ=¾EZ. Ainda, se essas fêmeas F1 forem acasaladas com touros da raça Gir, obtêm-se, então, animais ½Z+½(½EZ)=¾ZE. Oproduto do acasalamento de um touro da raça Holandês com uma vaca ¾EZ será igual a 7/8EZ. Omesmo raciocínio é válido cruzando um touro zebuíno com vacas ¾ZE. Originando, nesse caso, produtos 7/8ZE."
346,"A heterose é o fenômeno pelo qual os filhos apresentam melhor desempenho (mais vigor ou maior produção) do que a média dos pais. O acasalamento entre animais de raças diferentes é chamado de cruzamento e permite reunir nos produtos (filhos ou filhas) as boas características de duas ou mais raças, além do benefício da heterose, também chamada de vigor híbrido. Aheterose será tão 190 mais pronunciada quanto mais divergente (geneticamente diferentes) forem as raças ou linhagens envolvidas no cruzamento. O conhecimento e entendimento do conceito da heterose podem ajudar o produtor na escolha do tipo de cruzamento mais adequado, conforme o sistema de produção adotado em sua propriedade. Existem resultados de pesquisas científicas mostrando heterose para produção de leite variando de 17,3% até 28%, nos cruzamentos entre animais da raça Holandês e animais das raças zebuínas. Para outras características, os níveis de heterose podem ser variados, pois ela afeta características particulares e não o indivíduo como um todo. A heterose é máxima nos animais F1. Esse animal reúne características de ambos os progenitores. No caso do cruzamento de vaca gir com touro holandês PO, espera-se que as fêmeasF1 apresentem maior precocidade e maior aptidão leiteira (características típicas do holandês) do que a Gir e também maior resistência a ectoparasitas, tolerância ao calor e rusticidade que o Holandês, pois essas são características marcantes das raças zebuínas. Odesempenho (produção) do animal F1 depende da qualidade genética dos progenitores (do touro e da vaca), envolvidos em cada cruzamento. Assim, existem bons e maus animais F1, refletindo a qualidade genética do touro e da vaca envolvidos em cada cruzamento. Portanto, é importante utilizar sempre touros provados para leite, sejam eles europeus ou zebuínos. Qual a melhor estratégia de cruzamento entre animais de"
347,"A melhor estratégia de cruzamento a ser adotada pelo produtor de leite depende do manejo e alimentação existentes na fazenda. Quanto melhor o nível de manejo do sistema de produção, maior a possibilidade de se criar animais com maiores produções de leite, usando-se para tanto, cruzamentos que elevem o grau de sangue das raças europeias. 191 No entanto, o retorno econômico do sistema de cruzamento deve ser o fator determinante da melhor estratégia a ser adotada. Não existe, portanto, uma receita de cruzamento. Para os diferentes sistemas de exploração de gado de leite, no Brasil, algumas estratégias de cruzamento recomendadas são:  Cruzamento alternado simples (E-Z) – São usados touros de raças europeias e zebuínas, alternadamente, em cada geração. Assim, a raça do touro que vai cobrir ou inseminar a vaca será sempre diferente da raça do pai dessa vaca, mantendo-se, aproximadamente, 2/3Europeu ou 2/3Zebu, conforme se retorne com o touro europeu ou zebuíno a cada geração.  Cruzamento alternado com repetição do Europeu (E-E-Z) – É um tipo de cruzamento em que se empregam, por duas gerações, touros de raças europeias, alternadamente com um touro zebuíno. Dessa forma, a composição genética dos produtos irá variar entre os limites de 3/8 e 7/8EuropeuZebu.  Cruzamento absorvente – Emprega-se somente touros de uma mesma raça, geração após geração, até chegar ao animal puro por cruza (PC).  Produção contínua de fêmeas ½EZ (chamadas, também, de primeira cruza, ou F1) – Obtidas, principalmente, por cruzamento entre animais puros, usando touros europeus com vacas zebuínas, ou vice-versa. Orebanho terá sempre fêmeas com expressão máxima de heterose."
